name,country,lat,lng,airport_name,airport_lat,airport_lng,tier,timezone,cost_index,source_dataset
Tokyo,Japan,35.6762,139.6503,Narita International (NRT),35.7720,140.3929,1,Asia/Tokyo,3,starter-dataset
Paris,France,48.8566,2.3522,Charles de Gaulle (CDG),49.0097,2.5479,1,Europe/Paris,3,starter-dataset
Bangkok,Thailand,13.7563,100.5018,Suvarnabhumi (BKK),13.6900,100.7501,1,Asia/Bangkok,3,starter-dataset
New York,United States,40.7128,-74.0060,John F. Kennedy International (JFK),40.6413,-73.7781,1,America/New_York,3,starter-dataset
London,United Kingdom,51.5074,-0.1278,Heathrow (LHR),51.4700,-0.4543,1,Europe/London,3,starter-dataset
Rome,Italy,41.9028,12.4964,Fiumicino (FCO),41.8003,12.2389,1,Europe/Rome,3,starter-dataset
Barcelona,Spain,41.3851,2.1734,El Prat (BCN),41.2974,2.0833,1,Europe/Madrid,3,starter-dataset
Dubai,United Arab Emirates,25.2048,55.2708,Dubai International (DXB),25.2532,55.3657,1,Asia/Dubai,3,starter-dataset
Singapore,Singapore,1.3521,103.8198,Changi (SIN),1.3644,103.9915,1,Asia/Singapore,3,starter-dataset
Istanbul,Turkey,41.0082,28.9784,Istanbul Airport (IST),41.2753,28.7519,1,Europe/Istanbul,3,starter-dataset
Amsterdam,Netherlands,52.3676,4.9041,Schiphol (AMS),52.3105,4.7683,1,Europe/Amsterdam,3,starter-dataset
Berlin,Germany,52.52,13.405,Berlin Brandenburg (BER),52.3667,13.5033,1,Europe/Berlin,3,starter-dataset
Lisbon,Portugal,38.7223,-9.1393,Humberto Delgado (LIS),38.7813,-9.1359,1,Europe/Lisbon,3,starter-dataset
Madrid,Spain,40.4168,-3.7038,Adolfo Suarez Madrid-Barajas (MAD),40.4983,-3.5676,1,Europe/Madrid,3,starter-dataset
Vienna,Austria,48.2082,16.3738,Vienna International (VIE),48.1103,16.5697,1,Europe/Vienna,3,starter-dataset
Prague,Czech Republic,50.0755,14.4378,Vaclav Havel Airport (PRG),50.1008,14.26,1,Europe/Prague,3,starter-dataset
Budapest,Hungary,47.4979,19.0402,Budapest Ferenc Liszt (BUD),47.4298,19.2611,1,Europe/Budapest,3,starter-dataset
Athens,Greece,37.9838,23.7275,Athens International (ATH),37.9364,23.9445,1,Europe/Athens,3,starter-dataset
Sydney,Australia,-33.8688,151.2093,Sydney Kingsford Smith (SYD),-33.9399,151.1753,1,Australia/Sydney,3,starter-dataset
Hong Kong,Hong Kong SAR,22.3193,114.1694,Hong Kong International (HKG),22.308,113.9185,1,Asia/Hong_Kong,3,starter-dataset
Seoul,South Korea,37.5665,126.978,Incheon International (ICN),37.4602,126.4407,1,Asia/Seoul,3,starter-dataset
Mexico City,Mexico,19.4326,-99.1332,Mexico City International (MEX),19.4363,-99.0721,1,America/Mexico_City,3,starter-dataset
Cairo,Egypt,30.0444,31.2357,Cairo International (CAI),30.1219,31.4056,1,Africa/Cairo,3,starter-dataset
Marrakech,Morocco,31.6295,-7.9811,Marrakech Menara (RAK),31.6069,-8.0363,1,Africa/Casablanca,3,starter-dataset
Mumbai,India,19.076,72.8777,Chhatrapati Shivaji Maharaj International (BOM),19.0896,72.8656,1,Asia/Kolkata,3,starter-dataset
Edinburgh,United Kingdom,55.9533,-3.1883,Edinburgh (EDI),55.9508,-3.3615,2,Europe/London,3,starter-dataset-generic-zones
Dublin,Ireland,53.3498,-6.2603,Dublin (DUB),53.4264,-6.2499,2,Europe/Dublin,3,starter-dataset-generic-zones
Copenhagen,Denmark,55.6761,12.5683,Copenhagen (CPH),55.618,12.6508,2,Europe/Copenhagen,3,starter-dataset-generic-zones
Stockholm,Sweden,59.3293,18.0686,Stockholm Arlanda (ARN),59.6519,17.9186,2,Europe/Stockholm,3,starter-dataset-generic-zones
Oslo,Norway,59.9139,10.7522,Oslo Gardermoen (OSL),60.1939,11.1004,2,Europe/Oslo,3,starter-dataset-generic-zones
Helsinki,Finland,60.1699,24.9384,Helsinki Vantaa (HEL),60.3172,24.9633,2,Europe/Helsinki,3,starter-dataset-generic-zones
Zurich,Switzerland,47.3769,8.5417,Zurich (ZRH),47.4647,8.5492,2,Europe/Zurich,3,starter-dataset-generic-zones
Geneva,Switzerland,46.2044,6.1432,Geneva (GVA),46.2381,6.1089,2,Europe/Zurich,3,starter-dataset-generic-zones
Munich,Germany,48.1351,11.582,Munich (MUC),48.3538,11.7861,2,Europe/Berlin,3,starter-dataset-generic-zones
Hamburg,Germany,53.5511,9.9937,Hamburg (HAM),53.6304,9.9882,2,Europe/Berlin,3,starter-dataset-generic-zones
Milan,Italy,45.4642,9.19,Milan Malpensa (MXP),45.6306,8.7281,2,Europe/Rome,3,starter-dataset-generic-zones
Venice,Italy,45.4408,12.3155,Venice Marco Polo (VCE),45.5053,12.3519,2,Europe/Rome,3,starter-dataset-generic-zones
Florence,Italy,43.7696,11.2558,Florence (FLR),43.81,11.2051,2,Europe/Rome,3,starter-dataset-generic-zones
Naples,Italy,40.8518,14.2681,Naples (NAP),40.886,14.2908,2,Europe/Rome,3,starter-dataset-generic-zones
Seville,Spain,37.3891,-5.9845,Seville (SVQ),37.418,-5.8931,2,Europe/Madrid,3,starter-dataset-generic-zones
Valencia,Spain,39.4699,-0.3763,Valencia (VLC),39.4893,-0.4816,2,Europe/Madrid,3,starter-dataset-generic-zones
Porto,Portugal,41.1579,-8.6291,Porto (OPO),41.2481,-8.6814,2,Europe/Lisbon,3,starter-dataset-generic-zones
